brand,model,engine_type,fuel,transmission,km,price,year,type
Volkswagen,Polo,1.0 TSI,Petrol,Automatic,36207.0,389900,2022.0,autojarov
Toyota,RAV4,2.0 VVT,Petrol,Manual,41221.0,629900,2022.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,117497.0,689900,2021.0,autojarov
Volkswagen,Taigo,1.0 TSI,Petrol,Manual,64224.0,399000,2022.0,autojarov
Honda,CIVIC,2.0 I,Hybrid,Automatic,0.0,799900,2026.0,autojarov
Honda,ZR-V,2.0 I,Hybrid,Automatic,0.0,882000,2026.0,autojarov
Honda,Prelude,2.0 ADVANCE,Hybrid,Automatic,0.0,1199900,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,9845.0,519000,2025.0,autojarov
Škoda,Kamiq,1.0 TSI,Petrol,Manual,0.0,574200,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,0.0,554300,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,0.0,519300,2026.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Automatic,0.0,649800,2026.0,autojarov
Honda,CIVIC,1.8 I,Petrol,Manual,108984.0,94900,2008.0,autojarov
SEAT,Leon,1.5 TSI,Petrol,Manual,84915.0,409900,2022.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,30523.0,579900,2025.0,autojarov
Citroën,CITROEN,1.6 HDI,Diesel,Manual,159053.0,199900,2016.0,autojarov
SEAT,Leon,2.0 TDI,Diesel,Manual,191373.0,189900,2014.0,autojarov
Volkswagen,T-Roc,1.5 ETSI,Petrol,Automatic,0.0,733000,2026.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Manual,56478.0,409900,2021.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,74567.0,429900,2022.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,143576.0,499900,2021.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,171731.0,729900,2022.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,22478.0,459900,2021.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,11818.0,839900,2024.0,autojarov
Volkswagen,Touran,1.5 TSI,Petrol,Automatic,179320.0,409900,2019.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Manual,147599.0,389900,2023.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,12764.0,979000,2024.0,autojarov
Honda,HR-V,1.5 I,Hybrid,Automatic,0.0,614900,2026.0,autojarov
Honda,HR-V,1.5 I,Hybrid,Automatic,0.0,674900,2026.0,autojarov
Volkswagen,Sharan,1.4 TSI,Petrol,Manual,125392.0,619900,2021.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,18702.0,1219000,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,19498.0,639900,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,20982.0,679900,2025.0,autojarov
Audi,Q3,,Petrol,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3,,Diesel,Automatic,0.0,1599000,2026.0,autojarov
Audi,Q3,,Diesel,Automatic,0.0,1549000,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,0.0,729800,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,0.0,759300,2026.0,autojarov
Honda,CIVIC,2.0 I,Hybrid,Automatic,0.0,759900,2026.0,autojarov
Volkswagen,PASSAT,2.0 TDI,Diesel,Automatic,79026.0,599900,2022.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,0.0,1399000,2026.0,autojarov
Subaru,FORESTER,2.0 D,Diesel,Manual,159530.0,139900,2011.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,24775.0,809000,2025.0,autojarov
Škoda,ENYAQ,,Electric,Automatic,77839.0,599900,2021.0,autojarov
Volkswagen,e-up!,,Electric,Automatic,30790.0,329900,2021.0,autojarov
CUPRA,Ateca,1.5 TSI,Petrol,Automatic,22309.0,739900,2025.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,13872.0,444000,2025.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,5464.0,484000,2025.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,7073.0,584000,2025.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,12659.0,699000,2025.0,autojarov
Volkswagen,Golf,1.4 TSI,Cng,Manual,104652.0,219900,2014.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,1049100,2026.0,autojarov
Audi,A6,3.0 TDI,Diesel,Automatic,144376.0,499900,2017.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Manual,8944.0,722000,2025.0,autojarov
Audi,A4,,Petrol,Automatic,46032.0,1319900,2023.0,autojarov
Audi,Q7,,Diesel,Automatic,68827.0,1469900,2023.0,autojarov
Audi,A5,,Diesel,Automatic,0.0,1699900,2026.0,autojarov
Toyota,PROACE,1.5 D,Diesel,Manual,63002.0,349900,2023.0,autojarov
Volkswagen,VW,,Electric,Automatic,149037.0,399900,2020.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,40007.0,549900,2023.0,autojarov
Peugeot,2008,1.2 PURETECH,Petrol,Automatic,78668.0,164900,2018.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,0.0,802700,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,0.0,680700,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,604200,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,584300,2026.0,autojarov
Škoda,OCTAVIA,1.0 TSI,Petrol,Manual,130953.0,299000,2021.0,autojarov
Volkswagen,Golf,1.0 TSI,Petrol,Manual,37779.0,419900,2022.0,autojarov
Volkswagen,Touran,2.0 TDI,Diesel,Automatic,12960.0,828000,2025.0,autojarov
Toyota,YARIS,1.5 VVT,Petrol,Manual,52852.0,329900,2018.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Manual,27999.0,564000,2024.0,autojarov
Volkswagen Užitkové vozy,Akční,2.0 TSI,Petrol,Automatic,0.0,1519900,2026.0,autojarov
Volkswagen,Tiguan,2.0 TSI,Petrol,Automatic,130583.0,459900,2018.0,autojarov
Škoda,RAPID,1.4 TSI,Petrol,Automatic,111449.0,319900,2018.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,35998.0,879900,2025.0,autojarov
CUPRA,Formentor,1.5 TSI,Petrol,Automatic,34923.0,729900,2023.0,autojarov
Škoda,E-CITIGO,,Electric,Automatic,52457.0,318000,2020.0,autojarov
CUPRA,Ateca,1.5 TSI,Petrol,Automatic,32535.0,699900,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,46893.0,569900,2023.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,154016.0,469000,2022.0,autojarov
CUPRA,Formentor,1.5 TSI,Petrol,Automatic,47343.0,609000,2023.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,19527.0,449900,2025.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,34686.0,729000,2025.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,34476.0,739900,2025.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,88495.0,379900,2021.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,36646.0,679900,2025.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,26403.0,869900,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,65927.0,459000,2020.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Manual,179574.0,469900,2019.0,autojarov
Škoda,OCTAVIA,2.0 TSI,Petrol,Automatic,0.0,1123700,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,0.0,559300,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,602100,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,0.0,674800,2026.0,autojarov
Škoda,Kamiq,1.0 TSI,Petrol,Manual,0.0,594800,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Manual,52595.0,539900,2022.0,autojarov
Volkswagen,Golf,1.5 TSI,Petrol,Automatic,30085.0,619900,2024.0,autojarov
Volkswagen,GOLF,1.5 TSI,Petrol,Manual,55166.0,499900,2023.0,autojarov
SEAT,Leon,1.5 TSI,Petrol,Manual,57755.0,489900,2021.0,autojarov
Volkswagen,Passat,2.0 TDI,Diesel,Automatic,149982.0,429900,2017.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,13995.0,679900,2024.0,autojarov
Volkswagen,Tiguan,1.5 TSI,Petrol,Manual,61940.0,539900,2021.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,18446.0,1135000,2025.0,autojarov
Škoda,ELROQ,,Electric,Automatic,1625.0,749900,2025.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,0.0,694700,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,644700,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,945000,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,951000,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Manual,0.0,805900,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,825900,2026.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Automatic,0.0,941900,2026.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Automatic,0.0,1035900,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Manual,0.0,634200,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Manual,0.0,614300,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,954300,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,996300,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,958300,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,950800,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,927800,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,0.0,984800,2026.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Manual,0.0,770300,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,694700,2026.0,autojarov
Škoda,SCALA,1.5 TSI,Petrol,Automatic,0.0,687000,2026.0,autojarov
