brand,model,engine_type,fuel,transmission,km,price,year,type
Audi,Q3 Advanced 35 TFSI Stronic,,benzín,Automatic,0.0,949000,2026.0,autojarov
Audi,Q3 Spb TDI quattro 142 kW Stronic,,nafta,Automatic,0.0,1599000,2026.0,autojarov
Audi,Q3 TDI quattro 142 kW Stronic,,nafta,Automatic,0.0,1549000,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW DSG,1.5 TSI,benzín,Automatic,0.0,729800,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW DSG,1.5 TSI,benzín,Automatic,0.0,759300,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW DSG,1.5 TSI,benzín,Automatic,0.0,729800,2026.0,autojarov
Honda,CIVIC 5D 2.0 i-MMD Elegance 2026,2.0 I,hybrid,Automatic,0.0,759900,2026.0,autojarov
Honda,CIVIC 5D 2.0 i-MMD Elegance 2026,2.0 I,hybrid,Automatic,0.0,759900,2026.0,autojarov
Audi,Q7 3.0 TDI Quattro,3.0 TDI,nafta,Automatic,241339.0,369900,2013.0,autojarov
Škoda,OCTAVIA PRIMA PD 77 kW,1.9 TDI,nafta,Manual,304631.0,89900,2010.0,autojarov
Volkswagen,PASSAT VARIANT ELEGANCE EVO 7DSG,2.0 TDI,nafta,Automatic,79026.0,599900,2022.0,autojarov
Škoda,KODIAQ SPORTLINE 142 kW DSG 4x4,2.0 TDI,nafta,Automatic,0.0,1399000,2026.0,autojarov
Subaru,FORESTER 4x4,2.0 D,nafta,Manual,159530.0,139900,2011.0,autojarov
Volkswagen,"Tiguan People 1,5 eTSI 110 kW mHEV",1.5 ETSI,benzín,Automatic,24775.0,809000,2025.0,autojarov
Škoda,ENYAQ 60 132 kW,,elektro,Automatic,77839.0,599900,2021.0,autojarov
Volkswagen,e-up! 61 kW MOVE,,elektro,Automatic,30790.0,329900,2021.0,autojarov
CUPRA,Ateca 1.5 TSI 150k DSG,1.5 TSI,benzín,Automatic,22309.0,739900,2025.0,autojarov
Škoda,FABIA TOP SELECTION 70 kW,1.0 TSI,benzín,Manual,13872.0,444000,2025.0,autojarov
Škoda,FABIA MONTE CARLO 85 kW,1.0 TSI,benzín,Manual,5464.0,484000,2025.0,autojarov
Škoda,KAMIQ TOP SELECTION DSG 85kW,1.0 TSI,benzín,Automatic,7073.0,584000,2025.0,autojarov
Škoda,OCTAVIA TOP SELECTION DSG 110 kW,2.0 TDI,nafta,Automatic,12659.0,699000,2025.0,autojarov
Volkswagen,Golf Variant Highline CNG BMT,1.4 TSI,CNG,Manual,104652.0,219900,2014.0,autojarov
Volkswagen,"Tiguan People 1,5 eTSI 96 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,1049100,2026.0,autojarov
Audi,A6 AVANT 3.0 TDI QUATTRO,3.0 TDI,nafta,Automatic,144376.0,499900,2017.0,autojarov
Škoda,KAROQ TOP SELECTION 85 kW,2.0 TDI,nafta,Manual,8944.0,722000,2025.0,autojarov
Audi,A4 Avant S line 45 TFSI quattro Stronic,,benzín,Automatic,46032.0,1319900,2023.0,autojarov
Audi,Q7 Sline 50 TDI quattro tiptronic,,nafta,Automatic,68827.0,1469900,2023.0,autojarov
Audi,A5 Avant TDI quattro 150kW,,nafta,Automatic,0.0,1699900,2026.0,autojarov
Toyota,PROACE CITY -4D,1.5 D,nafta,Manual,63002.0,349900,2023.0,autojarov
Volkswagen,"VW ID.3 First Edt.Performance 58kWh,150",,elektro,Automatic,149037.0,399900,2020.0,autojarov
Škoda,SCALA SELECTION 85 kW,1.0 TSI,benzín,Manual,0.0,519300,2026.0,autojarov
Škoda,OCTAVIA COMBI AMBITION 110 kW,1.5 TSI,benzín,Manual,40007.0,549900,2023.0,autojarov
Peugeot,"2008 1,2 PureTech",1.2 PURETECH,benzín,Automatic,78668.0,164900,2018.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 85 kW DS,1.5 TSI,benzín,Automatic,0.0,802700,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW,1.0 TSI,benzín,Manual,0.0,554300,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW,1.0 TSI,benzín,Manual,0.0,554300,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,680700,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,604200,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,584300,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,584300,2026.0,autojarov
Škoda,OCTAVIA ACTIVE 81 kW,1.0 TSI,benzín,Manual,130953.0,299000,2021.0,autojarov
Volkswagen,Golf Variant Life 6G,1.0 TSI,benzín,Manual,37779.0,419900,2022.0,autojarov
Volkswagen,Touran People 7DSG EVO,2.0 TDI,nafta,Automatic,12960.0,828000,2025.0,autojarov
Toyota,YARIS SELECTION -iE,1.5 VVT,benzín,Manual,52852.0,329900,2018.0,autojarov
